title,author,length
Choose Your Enemies,By: Sandy Mitchell,Length: 10 hrs and 4 mins
Warrior Fae,"By: Caroline Peckham, Susanne Valenti",Length: 29 hrs and 37 mins
Shift Point,By: Franklin Horton,Length: 10 hrs and 16 mins
The Five-Star Weekend,By: Elin Hilderbrand,Length: 12 hrs and 45 mins
The Gift,By: Sebastian Fitzek,Length: 7 hrs and 8 mins
Reckless,By: Elsie Silver,Length: 9 hrs and 58 mins
The Puppeteers,By: Jason Chaffetz,Length: 8 hrs and 49 mins
"The Dream, the Journey, Eternity, and God","By: Sara Landon, Mike Dooley",Length: 7 hrs and 54 mins
Holy Spirit: The Bondage Breaker,By: David Diga Hernandez,Length: 8 hrs and 40 mins
Flaunt,By: Adriana Locke,Length: 7 hrs and 27 mins
"Love, Theoretically",By: Ali Hazelwood,Length: 12 hrs and 33 mins
The Ritual,By: Shantel Tessier,Length: 16 hrs and 46 mins
The Shift,By: Tinx,Length: 5 hrs and 17 mins
Primeiro Milhão [First Million],By: Raiam Santos,Length: 2 hrs and 47 mins
The Complete Poppy War Trilogy,By: R. F. Kuang,Length: 66 hrs and 29 mins
Battleborne Book IV: Dungeon Master,By: Dave Willmarth,Length: 15 hrs and 28 mins
Clue Krewe,By: Jana DeLeon,Length: 10 hrs and 1 min
Aster Fall,By: David North,Length: 20 hrs and 22 mins
Sweet Regret,By: K. Bromberg,Length: 9 hrs and 24 mins
