date,home_team,score,away_team
31-12-2022,Wolves,0 - 1,Man United
31-12-2022,Fulham,2 - 1,Southampton
31-12-2022,Newcastle,0 - 0,Leeds
31-12-2022,Fulham,2 - 1,Southampton
31-12-2022,Bournemouth,0 - 2,Crystal Palace
31-12-2022,Man City,1 - 1,Everton
31-12-2022,Man City,1 - 1,Everton
31-12-2022,Wolves,0 - 1,Man United
31-12-2022,Newcastle,0 - 0,Leeds
31-12-2022,Brighton,2 - 4,Arsenal
31-12-2022,Bournemouth,0 - 2,Crystal Palace
31-12-2022,Brighton,2 - 4,Arsenal
31-08-2022,Man City,6 - 0,Nott'm Forest
31-08-2022,Arsenal,2 - 1,Aston Villa
31-08-2022,Liverpool,2 - 1,Newcastle
31-08-2022,Man City,6 - 0,Nott'm Forest
31-08-2022,West Ham,1 - 1,Tottenham
31-08-2022,Bournemouth,0 - 0,Wolves
31-08-2022,Bournemouth,0 - 0,Wolves
31-08-2022,Arsenal,2 - 1,Aston Villa
31-08-2022,Liverpool,2 - 1,Newcastle
31-08-2022,West Ham,1 - 1,Tottenham
30-12-2022,West Ham,0 - 2,Brentford
30-12-2022,Liverpool,2 - 1,Leicester
30-12-2022,West Ham,0 - 2,Brentford
30-12-2022,Liverpool,2 - 1,Leicester
30-10-2022,Arsenal,5 - 0,Nott'm Forest
30-10-2022,Man United,1 - 0,West Ham
30-10-2022,Arsenal,5 - 0,Nott'm Forest
30-10-2022,Man United,1 - 0,West Ham
30-08-2022,Southampton,2 - 1,Chelsea
30-08-2022,Crystal Palace,1 - 1,Brentford
30-08-2022,Fulham,2 - 1,Brighton
30-08-2022,Leeds,1 - 1,Everton
30-08-2022,Southampton,2 - 1,Chelsea
30-08-2022,Fulham,2 - 1,Brighton
30-08-2022,Leeds,1 - 1,Everton
30-08-2022,Crystal Palace,1 - 1,Brentford
30-04-2023,Liverpool,4 - 3,Tottenham
30-04-2023,Newcastle,3 - 1,Southampton
30-04-2023,Fulham,1 - 2,Man City
30-04-2023,Bournemouth,4 - 1,Leeds
30-04-2023,Fulham,1 - 2,Man City
30-04-2023,Newcastle,3 - 1,Southampton
30-04-2023,Man United,1 - 0,Aston Villa
30-04-2023,Liverpool,4 - 3,Tottenham
30-04-2023,Man United,1 - 0,Aston Villa
30-04-2023,Bournemouth,4 - 1,Leeds
29-10-2022,Brentford,1 - 1,Wolves
29-10-2022,Crystal Palace,1 - 0,Southampton
29-10-2022,Liverpool,1 - 2,Leeds
29-10-2022,Brentford,1 - 1,Wolves
29-10-2022,Fulham,0 - 0,Everton
29-10-2022,Leicester,0 - 1,Man City
29-10-2022,Liverpool,1 - 2,Leeds
29-10-2022,Bournemouth,2 - 3,Tottenham
29-10-2022,Bournemouth,2 - 3,Tottenham
29-10-2022,Fulham,0 - 0,Everton
29-10-2022,Brighton,4 - 1,Chelsea
29-10-2022,Leicester,0 - 1,Man City
29-10-2022,Crystal Palace,1 - 0,Southampton
29-10-2022,Brighton,4 - 1,Chelsea
29-10-2022,Newcastle,4 - 0,Aston Villa
29-10-2022,Newcastle,4 - 0,Aston Villa
29-04-2023,Brighton,6 - 0,Wolves
29-04-2023,Crystal Palace,4 - 3,West Ham
29-04-2023,Brighton,6 - 0,Wolves
29-04-2023,Crystal Palace,4 - 3,West Ham
29-04-2023,Brentford,2 - 1,Nott'm Forest
29-04-2023,Brentford,2 - 1,Nott'm Forest
28-12-2022,Leeds,1 - 3,Man City
28-12-2022,Leeds,1 - 3,Man City
28-08-2022,Aston Villa,0 - 1,West Ham
28-08-2022,Aston Villa,0 - 1,West Ham
28-08-2022,Wolves,1 - 1,Newcastle
28-08-2022,Nott'm Forest,0 - 2,Tottenham
28-08-2022,Nott'm Forest,0 - 2,Tottenham
28-08-2022,Wolves,1 - 1,Newcastle
28-05-2023,Aston Villa,2 - 1,Brighton
28-05-2023,Leeds,1 - 4,Tottenham
28-05-2023,Southampton,4 - 4,Liverpool
28-05-2023,Chelsea,1 - 1,Newcastle
28-05-2023,Leicester,2 - 1,West Ham
28-05-2023,Crystal Palace,1 - 1,Nott'm Forest
28-05-2023,Brentford,1 - 0,Man City
28-05-2023,Everton,1 - 0,Bournemouth
28-05-2023,Man United,2 - 1,Fulham
28-05-2023,Everton,1 - 0,Bournemouth
28-05-2023,Arsenal,5 - 0,Wolves
28-05-2023,Leeds,1 - 4,Tottenham
28-05-2023,Chelsea,1 - 1,Newcastle
28-05-2023,Man United,2 - 1,Fulham
28-05-2023,Brentford,1 - 0,Man City
28-05-2023,Arsenal,5 - 0,Wolves
28-05-2023,Crystal Palace,1 - 1,Nott'm Forest
28-05-2023,Aston Villa,2 - 1,Brighton
28-05-2023,Leicester,2 - 1,West Ham
28-05-2023,Southampton,4 - 4,Liverpool
27-12-2022,Man United,3 - 0,Nott'm Forest
27-12-2022,Chelsea,2 - 0,Bournemouth
27-12-2022,Chelsea,2 - 0,Bournemouth
27-12-2022,Man United,3 - 0,Nott'm Forest
27-08-2022,Brentford,1 - 1,Everton
27-08-2022,Man City,4 - 2,Crystal Palace
27-08-2022,Chelsea,2 - 1,Leicester
27-08-2022,Man City,4 - 2,Crystal Palace
27-08-2022,Arsenal,2 - 1,Fulham
27-08-2022,Southampton,0 - 1,Man United
27-08-2022,Brentford,1 - 1,Everton
27-08-2022,Brighton,1 - 0,Leeds
27-08-2022,Brighton,1 - 0,Leeds
27-08-2022,Chelsea,2 - 1,Leicester
27-08-2022,Arsenal,2 - 1,Fulham
27-08-2022,Liverpool,9 - 0,Bournemouth
27-08-2022,Southampton,0 - 1,Man United
27-08-2022,Liverpool,9 - 0,Bournemouth
27-04-2023,Southampton,0 - 1,Bournemouth
27-04-2023,Tottenham,2 - 2,Man United
27-04-2023,Tottenham,2 - 2,Man United
27-04-2023,Everton,1 - 4,Newcastle
27-04-2023,Everton,1 - 4,Newcastle
27-04-2023,Southampton,0 - 1,Bournemouth
26-12-2022,Crystal Palace,0 - 3,Fulham
26-12-2022,Southampton,1 - 3,Brighton
26-12-2022,Brentford,2 - 2,Tottenham
26-12-2022,Leicester,0 - 3,Newcastle
26-12-2022,Southampton,1 - 3,Brighton
26-12-2022,Aston Villa,1 - 3,Liverpool
26-12-2022,Arsenal,3 - 1,West Ham
26-12-2022,Leicester,0 - 3,Newcastle
26-12-2022,Everton,1 - 2,Wolves
26-12-2022,Everton,1 - 2,Wolves
26-12-2022,Crystal Palace,0 - 3,Fulham
26-12-2022,Aston Villa,1 - 3,Liverpool
26-12-2022,Brentford,2 - 2,Tottenham
26-12-2022,Arsenal,3 - 1,West Ham
26-04-2023,Chelsea,0 - 2,Brentford
26-04-2023,Chelsea,0 - 2,Brentford
26-04-2023,West Ham,1 - 2,Liverpool
26-04-2023,Nott'm Forest,3 - 1,Brighton
26-04-2023,Nott'm Forest,3 - 1,Brighton
26-04-2023,West Ham,1 - 2,Liverpool
26-04-2023,Man City,4 - 1,Arsenal
26-04-2023,Man City,4 - 1,Arsenal
26-02-2023,Tottenham,2 - 0,Chelsea
26-02-2023,Tottenham,2 - 0,Chelsea
25-05-2023,Man United,4 - 1,Chelsea
25-05-2023,Man United,4 - 1,Chelsea
25-04-2023,Wolves,2 - 0,Crystal Palace
25-04-2023,Leeds,1 - 1,Leicester
25-04-2023,Aston Villa,1 - 0,Fulham
25-04-2023,Wolves,2 - 0,Crystal Palace
25-04-2023,Leeds,1 - 1,Leicester
25-04-2023,Aston Villa,1 - 0,Fulham
25-02-2023,Crystal Palace,0 - 0,Liverpool
25-02-2023,Leicester,0 - 1,Arsenal
25-02-2023,Bournemouth,1 - 4,Man City
25-02-2023,Crystal Palace,0 - 0,Liverpool
25-02-2023,Leicester,0 - 1,Arsenal
25-02-2023,Bournemouth,1 - 4,Man City
25-02-2023,Leeds,1 - 0,Southampton
25-02-2023,Everton,0 - 2,Aston Villa
25-02-2023,Leeds,1 - 0,Southampton
25-02-2023,Everton,0 - 2,Aston Villa
25-02-2023,West Ham,4 - 0,Nott'm Forest
25-02-2023,West Ham,4 - 0,Nott'm Forest
24-10-2022,West Ham,2 - 0,Bournemouth
24-10-2022,West Ham,2 - 0,Bournemouth
24-05-2023,Brighton,1 - 1,Man City
24-05-2023,Brighton,1 - 1,Man City
24-02-2023,Fulham,1 - 1,Wolves
24-02-2023,Fulham,1 - 1,Wolves
23-10-2022,Leeds,2 - 3,Fulham
23-10-2022,Southampton,1 - 1,Arsenal
23-10-2022,Wolves,0 - 4,Leicester
23-10-2022,Tottenham,1 - 2,Newcastle
23-10-2022,Tottenham,1 - 2,Newcastle
23-10-2022,Southampton,1 - 1,Arsenal
23-10-2022,Leeds,2 - 3,Fulham
23-10-2022,Wolves,0 - 4,Leicester
23-10-2022,Aston Villa,4 - 0,Brentford
23-10-2022,Aston Villa,4 - 0,Brentford
23-04-2023,Newcastle,6 - 1,Tottenham
23-04-2023,Bournemouth,0 - 4,West Ham
23-04-2023,Newcastle,6 - 1,Tottenham
23-04-2023,Bournemouth,0 - 4,West Ham
23-01-2023,Fulham,0 - 1,Tottenham
23-01-2023,Fulham,0 - 1,Tottenham
22-10-2022,Nott'm Forest,1 - 0,Liverpool
22-10-2022,Man City,3 - 1,Brighton
22-10-2022,Chelsea,1 - 1,Man United
22-10-2022,Nott'm Forest,1 - 0,Liverpool
22-10-2022,Everton,3 - 0,Crystal Palace
22-10-2022,Chelsea,1 - 1,Man United
22-10-2022,Everton,3 - 0,Crystal Palace
22-10-2022,Man City,3 - 1,Brighton
22-08-2022,Man United,2 - 1,Liverpool
22-08-2022,Man United,2 - 1,Liverpool
22-05-2023,Newcastle,0 - 0,Leicester
22-05-2023,Newcastle,0 - 0,Leicester
22-04-2023,Brentford,1 - 1,Aston Villa
22-04-2023,Liverpool,3 - 2,Nott'm Forest
22-04-2023,Fulham,2 - 1,Leeds
22-04-2023,Leicester,2 - 1,Wolves
22-04-2023,Leicester,2 - 1,Wolves
22-04-2023,Liverpool,3 - 2,Nott'm Forest
22-04-2023,Crystal Palace,0 - 0,Everton
22-04-2023,Brentford,1 - 1,Aston Villa
22-04-2023,Crystal Palace,0 - 0,Everton
22-04-2023,Fulham,2 - 1,Leeds
22-01-2023,Arsenal,3 - 2,Man United
