title,author,link,hours,mins,total_mins,total_hours,total_days
Shift Point,Franklin Horton,https://www.audible.com/pd/Shift-Point-Audiobook/B0C7RKZ81R?qid=1686833249&sr=1-1&ref=a_search_c3_lProduct_1_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2N3WC544EF7JH96X2T6R&pageLoadId=9Xdhx9r00ICOhaSf&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,10.0,16.0,616.0,10.27,0.43
"The Dream, the Journey, Eternity, and God","Sara Landon, Mike Dooley",https://www.audible.com/pd/The-Dream-the-Journey-Eternity-and-God-Audiobook/B0C66FTHM5?qid=1686833249&sr=1-2&ref=a_search_c3_lProduct_1_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2N3WC544EF7JH96X2T6R&pageLoadId=9Xdhx9r00ICOhaSf&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,7.0,54.0,474.0,7.9,0.33
"Love, Theoretically",Ali Hazelwood,https://www.audible.com/pd/Love-Theoretically-Audiobook/B0BJLCYHHR?qid=1686833249&sr=1-3&ref=a_search_c3_lProduct_1_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2N3WC544EF7JH96X2T6R&pageLoadId=9Xdhx9r00ICOhaSf&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,12.0,33.0,753.0,12.55,0.52
The Five-Star Weekend,Elin Hilderbrand,https://www.audible.com/pd/The-Five-Star-Weekend-Audiobook/B0BHF3BST4?qid=1686833249&sr=1-4&ref=a_search_c3_lProduct_1_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2N3WC544EF7JH96X2T6R&pageLoadId=9Xdhx9r00ICOhaSf&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,12.0,45.0,765.0,12.75,0.53
The Puppeteers,Jason Chaffetz,https://www.audible.com/pd/The-Puppeteers-Audiobook/B0C5P39FY4?qid=1686833249&sr=1-5&ref=a_search_c3_lProduct_1_5&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2N3WC544EF7JH96X2T6R&pageLoadId=9Xdhx9r00ICOhaSf&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,8.0,49.0,529.0,8.82,0.37
The Gift,Sebastian Fitzek,https://www.audible.com/pd/The-Gift-Audiobook/B0C3DVWFMK?qid=1686833249&sr=1-6&ref=a_search_c3_lProduct_1_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2N3WC544EF7JH96X2T6R&pageLoadId=9Xdhx9r00ICOhaSf&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,7.0,8.0,428.0,7.13,0.3
Holy Spirit: The Bondage Breaker,David Diga Hernandez,https://www.audible.com/pd/Holy-Spirit-The-Bondage-Breaker-Audiobook/B0C5ZPZL96?qid=1686833249&sr=1-7&ref=a_search_c3_lProduct_1_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2N3WC544EF7JH96X2T6R&pageLoadId=9Xdhx9r00ICOhaSf&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,8.0,40.0,520.0,8.67,0.36
The Ritual,Shantel Tessier,https://www.audible.com/pd/The-Ritual-Audiobook/B0C4G45RDS?qid=1686833249&sr=1-8&ref=a_search_c3_lProduct_1_8&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2N3WC544EF7JH96X2T6R&pageLoadId=9Xdhx9r00ICOhaSf&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,16.0,46.0,1006.0,16.77,0.7
The Shift,Tinx,https://www.audible.com/pd/The-Shift-Audiobook/B0BJRZBDLQ?qid=1686833249&sr=1-9&ref=a_search_c3_lProduct_1_9&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2N3WC544EF7JH96X2T6R&pageLoadId=9Xdhx9r00ICOhaSf&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,5.0,17.0,317.0,5.28,0.22
Reckless,Elsie Silver,https://www.audible.com/pd/Reckless-Audiobook/B0C5F2VSG6?qid=1686833249&sr=1-10&ref=a_search_c3_lProduct_1_10&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2N3WC544EF7JH96X2T6R&pageLoadId=9Xdhx9r00ICOhaSf&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,9.0,58.0,598.0,9.97,0.42
