mp_name,mp_vote
Hon Samuel Chepkonga ,YES
Hon. Samuel Atandi ,NO
Hon. John Walter Owino ,ABSENT
Hon. Irene Njoki ,YES
Hon. Florence Jematia ,YES
Hon. Joshua Kandie ,YES
Hon. Joseph Kipkoros ,YES
Hon. Charles Kamuren ,YES
Hon. Nelson Koech ,YES
Hon. Innocent Obiri ,ABSENT
Hon. Barongo Obadiah ,NO
Hon. Alfah Miruka ,YES
Hon. Benjamin Langat ,YES
Hon. Mrembo Irene Njoki ,YES
Hon. Linet Chepkorir ,YES
Hon. Richard Cheruiyot ,YES
Hon. Richard Yegon ,YES
Hon. Charles Onchoke ,NO
Hon Wanjala Raphael ,NO
Hon. Patrick Kibagendi ,NO
Hon. Jack Wamboka ,NO
Hon. Komingoi Kibet Kirui ,YES
Hon. Catherine Omanyo ,ABSENT
Hon. Tindi Mwale ,ABSENT
Hon. Joseph Oyula ,ABSENT
Hon. Rindikiri Mugambi ,YES
Hon. Kirima Moses ,YES
Hon. Omar Shimbwa ,NO
Hon. Patrick Simiyu ,NO
Hon. Paul Kibichii ,YES
Hon. Ntwiga Patrick ,YES
Hon. Farah Maalim ,ABSENT
Hon. Beatrice Elachi ,NO
Hon. John Kiarie ,YES
Hon. Moses Sirma ,YES
Hon. Adan Keynan ,YES
Hon. Caroline Ngelechei ,YES
Hon Gathiru Mejjadonk Benjamin ,YES
Hon. Babu Owino ,ABSENT
Hon. Gakuuya James ,YES
Hon. Julius Mawathe ,NO
Hon. Mark Mwenje ,NO
Hon. Pamela Njoki ,ABSENT
Hon. Josses Kiptoo Kosgey ,YES
Hon. Omboko Milemba ,YES
Hon. Johana Ngeno ,YES
Hon. Robert Pukose ,YES
Hon. Wilberforce Oundo ,ABSENT
Hon. Hirbae Said ,ABSENT
Hon. Kenneth Kazungu ,YES
Hon. Guyo Ali Wario ,NO
Hon. Edward Muriu ,ABSENT
Hon. Elijah Njore Njoroge ,NO
Hon. Gabriel Kagombe ,YES
Hon. Elisha Odhiambo ,YES
Hon. Robert Gichimu ,YES
Hon. Martha Wangari ,YES
Hon. Gathoni Wamuchomba ,NO
Hon. Peter Kaluma ,NO
Hon. Daniel Karitho ,YES
Hon. Julius Taitumu ,YES
Hon. Mwirigi John Paul ,YES
Hon. Abdi Abdi Ali ,YES
Hon Bernard Masaka ,NO
Hon. Bady Bady Twalib ,NO
Hon. George Koimburi ,YES
Hon. Wamacukuru James Kamau ,YES
Hon. Joshua Kimilu ,NO
Hon. Sankaire Leah ,YES
Hon. Elijah Memusi ,NO
Hon. Nguro Onesmus ,YES
Hon. Paul Kahindi ,NO
Hon. Hassan Abdi Yusuf ,YES
Hon. Njuguna Chege ,YES
Hon. Makali John ,YES
Hon. Samuel Moroto ,YES
Hon. Oscar Sudi ,ABSENT
Hon. Andrew Okuome ,NO
Hon. Charles Were Ong'ondo ,NO
Hon. Robert Mbui ,NO
Hon. Korir Adams Kipsanai ,YES
