Car_Name,Price,Transmission,Exterior,Fuel,Drive,Engine,Make,Car_Number
Volkswagen Golf TSI,Price On Request,Transmission Auto,Exterior Black,Fuel Petrol,Drive 2 WD,ENGINE 1400 CC,MAKE 2015,MTH2576
Mercedes-Benz E300,Price On Request,Transmission Auto,Exterior White,Fuel Petrol,Drive 2 WD,ENGINE 3500 CC,MAKE 2015,MTH2574
Mercedes-Benz B250,"KSh 1,950,000",Transmission Auto,Exterior Grey,Fuel Petrol,Drive 2 WD,ENGINE 2000 CC,MAKE 2016,MTH2573
Toyota Fortuner,Price On Request,Transmission Auto,Exterior Silver,Fuel Diesel,Drive 4 WD,ENGINE 2400 CC,MAKE 2016,MTH2572
Mazda CX-5,Price On Request,Transmission Auto,Exterior Black,Fuel Petrol,Drive 2 WD,ENGINE 2000 CC,MAKE 2017,MTH2571
Mitsubishi Pajero,"KSh 5,400,000",Transmission Auto,Exterior Bronze,Fuel Diesel,Drive 4 WD,ENGINE 3200 CC,MAKE 2016,MTH2570
Mazda Atenza,Price On Request,Transmission Auto,Exterior White,Fuel Petrol,Drive 2 WD,ENGINE 2000 CC,MAKE 2015,MTH2569
Toyota Hiace,Price On Request,Transmission Auto,Exterior White,Fuel Diesel,Drive 2 WD,ENGINE 3000 CC,MAKE 2016,MTH2567
Mazda CX-5,Price On Request,Transmission Auto,Exterior Red,Fuel Petrol,Drive 2 WD,ENGINE 2000 CC,MAKE 2016,MTH2565
Mazda Axela Sedan,Request Price Below,Transmission Auto,Exterior White,Fuel Petrol,Drive 2 WD,ENGINE 1500 CC,MAKE 2015,MTH2564
Toyota FJ Cruiser,"KSh 3,600,000",Transmission Auto,Exterior Blue,Fuel Petrol,Drive 4 WD,ENGINE 4000 CC,MAKE 2012,MTH2563
Toyota Crown,"KSh 1,500,000",Transmission Auto,Exterior Pearl,Fuel Petrol,Drive 2 WD,ENGINE 2500 CC,MAKE 2010,MTH2562
Volkswagen Touareg,Price On Request,Transmission Auto,Exterior Black,Fuel Diesel,Drive 2 WD,ENGINE 3200 CC,MAKE 2004,MTH2561
Ford Ranger,"KSh 5,100,000",Transmission Auto,Exterior Orange,Fuel Diesel,Drive 4 WD,ENGINE 3200 CC,MAKE 2015,MTH2560
Nissan Note,Price On Request,Transmission Auto,Exterior Grey,Fuel Petrol,Drive 2 WD,ENGINE 1200 CC,MAKE 2015,MTH2559
Nissan Note,Price On Request,Transmission Auto,Exterior Blue,Fuel Petrol,Drive 2 WD,ENGINE 1200 CC,MAKE 2016,MTH2558
Nissan Note,Price On Request,Transmission Auto,Exterior White,Fuel Petrol,Drive 2 WD,ENGINE 1200 CC,MAKE 2015,MTH2557
Toyota Noah,Price On Request,Transmission Auto,Exterior Black,Fuel Petrol,Drive 2 WD,ENGINE 2000 CC,MAKE 2014,MTH2555
Daihatsu Mira,Price On Request,Transmission Auto,Exterior Black,Fuel Petrol,Drive 2 WD,ENGINE 650 CC,MAKE 2014,MTH2554
Subaru Forester,Price On Request,Transmission Auto,Exterior Black,Fuel Petrol,Drive 2 WD,ENGINE 2000 CC,MAKE 2016,MTH2552
