num,image,title,price,make_year,engine_cc,availability,transmission,exterior,fuel,drive,details_link,reserve_link
MTH2564,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_382fab4ca7ec768f5d200ef31b58596d_05042023025324.JPG,Mazda Axela Sedan,Request Price Below,2015,1500 CC,In Stock,Auto,White,Petrol,2 WD,https://www.motorhub.co.ke/detail/mazda-axela-994,https://www.motorhub.co.ke/reserve/mazda-axela-994
MTH2563,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_719b96a64464b2b01533f056013108ee_03042023044707.JPG,Toyota FJ Cruiser ,"KSh 3,600,000",2012,4000 CC,In Stock,Auto,Blue,Petrol,4 WD,https://www.motorhub.co.ke/detail/toyota-fj-cruiser-993,https://www.motorhub.co.ke/reserve/toyota-fj-cruiser-993
MTH2562,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_fe1c3c2e2116cdb556215270501f3d34_03042023043721.JPG,Toyota Crown ,"KSh 1,500,000",2010,2500 CC,In Stock,Auto,Pearl,Petrol,2 WD,https://www.motorhub.co.ke/detail/toyota-crown-992,https://www.motorhub.co.ke/reserve/toyota-crown-992
MTH2561,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_285ff0e035c4e27935067d648bcd945c_03042023042418.JPG,Volkswagen Touareg ,Price on request,2004,3200 CC,In Stock,Auto,Black,Diesel,2 WD,https://www.motorhub.co.ke/detail/volkswagen-touareg-991,https://www.motorhub.co.ke/reserve/volkswagen-touareg-991
MTH2560,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_dda4bfbcd476269905e512a951ccbeb5_03042023041155.JPG,Ford Ranger ,"KSh 5,100,000",2015,3200 CC,In Stock,Auto,Orange,Diesel,4 WD,https://www.motorhub.co.ke/detail/ford-ranger-990,https://www.motorhub.co.ke/reserve/ford-ranger-990
MTH2559,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_ed8f27f94f5c3fc938dcb5ae2b641295_03042023035501.JPG,Nissan Note ,Price on request,2015,1200 CC,In Stock,Auto,Grey,Petrol,2 WD,https://www.motorhub.co.ke/detail/nissan-note-989,https://www.motorhub.co.ke/reserve/nissan-note-989
MTH2558,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_2cad485a1f730125623412b4865f3c18_03042023034713.JPG,Nissan Note ,Price on request,2016,1200 CC,In Stock,Auto,Blue,Petrol,2 WD,https://www.motorhub.co.ke/detail/nissan-note-988,https://www.motorhub.co.ke/reserve/nissan-note-988
MTH2557,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_70ab82cb81577c143bf204eba44d8111_03042023033959.JPG,Nissan Note ,Price on request,2015,1200 CC,In Stock,Auto,White,Petrol,2 WD,https://www.motorhub.co.ke/detail/nissan-note-987,https://www.motorhub.co.ke/reserve/nissan-note-987
MTH2555,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_6f0415ce771a4285009c8d6597360508_03042023032111.JPG,Toyota Noah ,Price on request,2014,2000 CC,In Stock,Auto,Black,Petrol,2 WD,https://www.motorhub.co.ke/detail/toyota-noah-985,https://www.motorhub.co.ke/reserve/toyota-noah-985
MTH2554,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_3c792a0259368f3fbb9010ef64f4f073_03042023030315.JPG,Daihatsu Mira ,Price on request,2014,650 CC,In Stock,Auto,Black,Petrol,2 WD,https://www.motorhub.co.ke/detail/daihatsu-mira-984,https://www.motorhub.co.ke/reserve/daihatsu-mira-984
