property_name,property_price,property_location,property_bedrooms,property_bathrooms,property_size,real_estate_agent
,"KSh 5,850,000","500mtrs OFF Kangundo Road, Kamulu, Kamulu Joska Malaa",3,,120 m²,CASTLE VILLAS LIMITED
,"KSh 79,500,000","Faith Close, Runda, Westlands",4,,6022 ft²,KiraguandMwangi Limited
,"KSh 40,000,000","23 02015ST 0420p, Near Diamond Plaza, Parklands, Westlands",4,,2697 ft²,Ace Realtors Limited
,"KSh 13,000,000","23 03025 ST 0420p, Katani Road, Syokimau",4,,2250 ft²,Ace Realtors Limited
,"KSh 55,000,000",Lavington,4,,,Sarabi Realty Ltd
,"KSh 102,000,000","Loresho, Westlands",5,,,Durian Property Consult Ltd
,"KSh 50,000,000",Lavington,5,,,Splendor Holdings
,"KSh 37,000,000","0425m/0425p, langata, Langata",4,,2800 ft²,Ace Realtors Limited
,"KSh 29,000,000","Karura, Westlands",4,,,
,"KSh 120,000,000","Tigoni, Limuru",5,,,
,"KSh 10,000,000","23 03008 ST 0420p, River bank Estate, South B",3,,1650 ft²,Ace Realtors Limited
,"KSh 600,000,000","Kitisuru, Westlands",7,,,Royani Properties Limited
,"KSh 13,500,000","Nairobi Namanga Highway, Kitengela",4,,287 m²,Property Point Urban Kenya
,"KSh 55,000,000",Lavington,5,,,Abode Realty
,"KSh 50,000,000",Lavington,5,,,Sarabi Realty Ltd
,"KSh 60,000,000",Lavington,5,,,Sarabi Rentals Limited
,"KSh 10,000,000","0424m, South B Estate., South B",3,,1900 ft²,Ace Realtors Limited
,"KSh 15,000,000","1.2 Km from Co-op Bank Kamakis Off Eastern Bypass, Ruiru",4,,256 m²,
,"KSh 95,000,000","Ololua estate, Karen",5,,64888 m²,Mapema Properties
,"KSh 38,000,000","Diani Beach, Diani",6,,700 m²,Property Point Urban Kenya
,"KSh 23,000,000",Kileleshwa,3,,,Origin Homes
,"KSh 55,000,000",Lavington,5,,,Sarabi Rentals Limited
,"KSh 200,000,000",Karen,5,,,Trisums Investments Company Ltd
,"KSh 23,000,000",Ruiru,4,,,SADIAMOND PROPERTIES LTD
,"KSh 100,000,000","Runda, Westlands",5,,,Trisums Investments Company Ltd
,"KSh 9,250,000",Kenyatta Road,3,,167 m²,Property Point Urban Kenya
,"KSh 75,000,000",Lavington,5,,,Trisums Investments Company Ltd
,"KSh 9,250,000","Batian Kenyatta road, Kenyatta Road",3,,170 m²,Property Point Urban Kenya
,"KSh 6,200,000","Milimani, Kitengela",4,,150 m²,Homeken Limited
,"KSh 75,000,000",Lavington,5,,,Origin Homes
,"KSh 39,500,000","Muguga Waiyaki Way, Kikuyu Town, Kikuyu",5,,550 m²,Property Point Urban Kenya
,"KSh 7,700,000","Kangunndo Road, Joska, Kamulu Joska Malaa",3,,160 m²,Property Point Urban Kenya
,"KSh 40,500,000","Kerarapon Drive, Kajiado County",5,,300 m²,Property Point Urban Kenya
,"KSh 72,000,000",Lavington,5,,,Origin Homes
,"KSh 65,000,000","Riverside, Westlands",5,,,Coral Property International Ltd
,"KSh 8,950,000","JCC ROAD, Bamburi",4,,1680 ft²,Fairdeal Properties Limited
,"KSh 12,000,000","Nairobi Namanga Highway, Kitengela",3,,237 m²,Property Point Urban Kenya
,"KSh 72,500,000","Limuru Road, Tigoni, Limuru",8,,630 m²,Property Point Urban Kenya
,"KSh 7,700,000","Kangunndo Road, Joska, Kamulu Joska Malaa",3,,157 m²,Property Point Urban Kenya
,"KSh 30,000,000","Kiambu Road, Kiambu Town",4,,400 m²,Property Point Urban Kenya
,"KSh 87,000,000","Off James Gichuru Road, Lavington",7,,520 m²,Property Point Urban Kenya
,"KSh 94,000,000",Lavington,6,,,SADIAMOND PROPERTIES LTD
,"KSh 65,000,000",Karen,4,,,Newpoint Properties
,"KSh 41,000,000","Brookside, Westlands",4,,,
,"KSh 27,000,000",Thika Road,4,,,
,"KSh 22,500,000","Thindigua, Kiambu Road",4,,238 m²,
,"KSh 100,000,000","Runda, Westlands",6,,1000 m²,Jubilee Real Estate
,"KSh 4,750,000","Kinamba, Naivasha",2,,,
,"KSh 5,000,000","JUJA FARM, JUJA, Juja",2,,50000 ft²,
,"KSh 12,500,000","Opposite Gichuru Memorial High School, Olive Place Townhomes, Gikambura, Kikuyu",4,,,
,"KSh 21,000,000","near 67 hotel, Muthama access, Syokimau",4,,,
,"KSh 18,000,000","Majaoni, Shanzu",5,,,Mombasa Real Estate Agencies Ltd
,"KSh 13,000,000",Ngong,3,,,Litana Investments
,"KSh 13,000,000","Harambee Sacco B, Donholm",6,,,
,"KSh 45,000,000",Diani,6,,,
,"KSh 65,000,000","Fair acre road, Karen",4,,21780 m²,Homeken Limited
